Season,Seed,Team
2009,W01,1338
2009,W02,1181
2009,W03,1437
2009,W04,1462
2009,W05,1199
2009,W06,1417
2009,W07,1400
2009,W08,1329
2009,W09,1397
2009,W10,1278
2009,W11,1433
2009,W12,1458
2009,W13,1340
2009,W14,1110
2009,W15,1127
2009,W16,1190
2009,X01,1314
2009,X02,1328
2009,X03,1393
2009,X04,1211
2009,X05,1228
2009,X06,1113
2009,X07,1155
2009,X08,1261
2009,X09,1139
2009,X10,1276
2009,X11,1396
2009,X12,1443
2009,X13,1103
2009,X14,1372
2009,X15,1288
2009,X16,1347
2009,Y01,1257
2009,Y02,1277
2009,Y03,1242
2009,Y04,1448
2009,Y05,1428
2009,Y06,1452
2009,Y07,1130
2009,Y08,1326
2009,Y09,1373
2009,Y10,1425
2009,Y11,1173
2009,Y12,1112
2009,Y13,1156
2009,Y14,1295
2009,Y15,1352
2009,Y16a,1106
2009,Y16b,1287
2009,Z01,1163
2009,Z02,1272
2009,Z03,1281
2009,Z04,1449
2009,Z05,1345
2009,Z06,1266
2009,Z07,1143
2009,Z08,1140
2009,Z09,1401
2009,Z10,1268
2009,Z11,1429
2009,Z12,1320
2009,Z13,1280
2009,Z14,1165
2009,Z15,1169
2009,Z16,1151
2010,W01,1246
2010,W02,1452
2010,W03,1307
2010,W04,1458
2010,W05,1396
2010,W06,1266
2010,W07,1155
2010,W08,1400
2010,W09,1448
2010,W10,1281
2010,W11,1449
2010,W12,1165
2010,W13,1459
2010,W14,1285
2010,W15,1288
2010,W16,1190
2010,X01,1181
2010,X02,1437
2010,X03,1124
2010,X04,1345
2010,X05,1401
2010,X06,1323
2010,X07,1350
2010,X08,1143
2010,X09,1257
2010,X10,1388
2010,X11,1330
2010,X12,1429
2010,X13,1373
2010,X14,1358
2010,X15,1352
2010,X16a,1115
2010,X16b,1457
2010,Y01,1242
2010,Y02,1326
2010,Y03,1207
2010,Y04,1268
2010,Y05,1277
2010,Y06,1397
2010,Y07,1329
2010,Y08,1424
2010,Y09,1320
2010,Y10,1210
2010,Y11,1361
2010,Y12,1308
2010,Y13,1222
2010,Y14,1325
2010,Y15,1364
2010,Y16,1250
2010,Z01,1393
2010,Z02,1243
2010,Z03,1338
2010,Z04,1435
2010,Z05,1139
2010,Z06,1462
