Season,Daynum,Wteam,Wscore,Lteam,Lscore,Wloc,Numot,Wfgm,Wfga,Wfgm3,Wfga3,Wftm,Wfta,Wor,Wdr,Wast,Wto,Wstl,Wblk,Wpf,Lfgm,Lfga,Lfgm3,Lfga3,Lftm,Lfta,Lor,Ldr,Last,Lto,Lstl,Lblk,Lpf
2009,134,1287,58,1106,43,N,0,18,50,4,15,18,24,16,34,13,21,6,2,14,18,58,2,15,5,11,9,18,4,13,7,6,18
2009,136,1163,103,1151,47,N,0,37,71,6,24,23,39,17,41,28,10,12,6,11,17,66,5,25,8,10,9,25,11,19,5,2,27
2009,136,1181,86,1127,62,N,0,28,57,9,20,21,25,17,21,21,15,6,3,14,27,51,7,15,1,5,6,14,9,18,9,4,21
2009,136,1211,77,1103,64,N,0,23,44,5,15,26,31,7,27,15,8,5,5,18,21,57,10,23,12,18,11,15,15,8,0,1,23
2009,136,1261,75,1139,71,N,0,27,55,6,14,15,21,9,21,14,11,11,8,20,22,52,8,23,19,26,13,21,12,15,3,1,20
2009,136,1268,84,1143,71,N,0,31,63,6,16,16,24,16,20,18,9,5,1,17,25,59,7,24,14,19,14,21,12,14,2,2,22
2009,136,1272,81,1169,70,N,0,29,59,11,28,12,21,12,23,19,14,14,3,16,24,54,7,18,15,20,10,22,10,17,8,2,18
2009,136,1276,62,1155,59,N,0,20,51,10,26,12,15,9,24,16,14,5,3,11,21,65,5,22,12,14,21,23,14,11,8,7,19
2009,136,1314,101,1347,58,N,0,38,84,5,14,20,24,20,39,17,12,11,8,13,22,80,5,17,9,14,20,28,9,18,9,6,17
2009,136,1328,82,1288,54,N,0,29,48,4,12,20,32,7,38,15,15,5,6,11,22,77,6,23,4,8,20,16,10,7,9,1,24
2009,136,1345,61,1320,56,N,0,21,52,3,15,16,22,10,22,11,10,8,3,13,20,54,7,22,9,11,9,21,13,14,6,3,20
2009,136,1400,76,1278,62,N,0,27,57,11,20,11,19,14,27,12,14,6,1,18,22,54,4,13,14,19,8,22,12,12,6,2,20
2009,136,1401,79,1140,66,N,0,30,52,6,17,13,19,7,28,20,14,2,6,15,23,59,7,16,13,18,7,19,15,10,11,1,20
2009,136,1417,65,1433,64,N,0,21,52,6,12,17,19,9,24,9,12,9,1,20,20,49,6,15,18,25,10,21,14,12,5,4,17
2009,136,1437,80,1110,67,N,0,24,50,6,18,26,29,10,28,15,16,8,8,12,27,62,10,31,3,5,7,17,16,12,8,1,24
2009,136,1443,76,1228,72,N,0,27,56,9,19,13,22,9,28,13,15,8,4,12,31,63,5,18,5,7,5,24,14,12,9,3,24
2009,136,1449,71,1280,58,N,0,27,62,2,9,15,21,17,28,13,15,5,0,21,20,58,5,18,13,19,14,21,5,17,5,5,22
2009,137,1112,84,1428,71,N,0,30,55,4,12,20,28,11,23,11,14,13,2,15,27,64,8,32,9,13,16,19,16,20,7,3,22
2009,137,1113,66,1396,57,N,0,20,39,8,14,18,24,3,24,12,11,4,1,14,19,51,6,17,13,17,9,20,13,9,5,4,16
2009,137,1156,84,1448,69,N,0,31,65,6,15,16,22,14,18,15,6,9,1,17,26,50,5,13,12,17,10,23,10,18,4,13,20
2009,137,1173,68,1452,60,N,0,25,54,4,10,14,23,13,19,14,9,5,2,22,18,49,5,20,19,25,15,22,10,11,2,4,21
2009,137,1242,84,1295,74,N,0,32,64,4,12,16,20,10,29,17,5,5,2,17,26,62,10,24,12,15,9,25,9,9,3,4,21
2009,137,1257,74,1287,54,N,0,29,50,10,24,6,11,8,21,19,19,9,4,16,20,52,4,11,10,14,13,14,12,20,4,1,10
2009,137,1266,58,1429,57,N,0,17,47,5,19,19,23,10,22,7,9,4,2,14,22,53,7,23,6,8,7,19,11,9,2,3,21
2009,137,1277,77,1352,62,N,0,28,61,4,13,17,23,17,32,15,10,6,4,15,25,61,5,17,7,13,8,20,16,6,8,7,17
2009,137,1281,78,1165,59,N,0,28,59,5,20,17,19,9,28,19,4,4,1,11,23,64,6,21,7,12,17,23,11,9,1,0,15
2009,137,1329,77,1397,75,N,0,30,53,7,21,10,13,8,23,13,12,5,0,19,24,56,11,33,16,21,11,17,16,11,4,1,16
2009,137,1338,72,1190,62,N,0,24,55,7,19,17,23,9,38,16,18,5,3,16,23,75,4,22,12,24,20,24,12,9,6,3,17
2009,137,1373,74,1326,72,N,2,24,72,6,24,20,28,23,30,13,22,9,3,18,24,60,7,25,17,23,9,28,15,20,5,7,21
2009,137,1393,59,1372,44,N,0,25,55,2,16,7,10,12,43,14,21,3,11,12,18,73,2,21,6,10,14,20,10,6,10,1,11
2009,137,1425,72,1130,55,N,0,27,51,4,9,14,19,11,24,19,13,7,6,18,18,55,6,23,13,14,13,17,13,15,5,3,21
2009,137,1458,61,1199,59,N,1,22,54,9,27,8,12,5,21,10,9,4,2,16,20,46,4,13,15,18,4,29,6,15,6,4,16
2009,137,1462,77,1340,59,N,0,29,54,8,19,11,18,10,24,12,7,5,2,17,22,46,8,21,7,16,4,17,12,11,6,2,18
2009,138,1163,92,1401,66,N,0,33,57,5,10,21,27,12,27,20,9,3,5,16,26,63,3,15,11,17,12,16,17,7,3,3,21
2009,138,1181,74,1400,69,N,0,23,53,7,14,21,27,12,19,9,9,8,2,20,25,50,3,12,16,25,13,23,8,15,5,3,23
2009,138,1211,83,1443,81,N,0,30,60,9,21,14,19,9,22,18,11,4,4,12,32,62,12,25,5,14,10,21,14,11,4,5,20
