season,daynum,wteam,lteam,slot,host,lat,lng
2009,134,1287,1106,Y16,dayton,39.7594,-84.1917
2009,136,1181,1127,R1W2,greensboro,36.08,-79.8194
2009,136,1437,1110,R1W3,philadelphia,39.95,-75.1667
2009,136,1417,1433,R1W6,philadelphia,39.95,-75.1667
2009,136,1400,1278,R1W7,greensboro,36.08,-79.8194
2009,136,1314,1347,R1X1,dayton,39.7594,-84.1917
2009,136,1328,1288,R1X2,minneapolis,44.9778,-93.265
2009,136,1211,1103,R1X4,miami,25.7877,-80.2241
2009,136,1443,1228,R1X5,miami,25.7877,-80.2241
2009,136,1276,1155,R1X7,minneapolis,44.9778,-93.265
2009,136,1261,1139,R1X8,dayton,39.7594,-84.1917
2009,136,1163,1151,R1Z1,philadelphia,39.95,-75.1667
2009,136,1272,1169,R1Z2,kansas_city,39.0997,-94.5783
2009,136,1449,1280,R1Z4,portland,45.52,-122.6819
2009,136,1345,1320,R1Z5,portland,45.52,-122.6819
2009,136,1268,1143,R1Z7,kansas_city,39.0997,-94.5783
2009,136,1401,1140,R1Z8,philadelphia,39.95,-75.1667
2009,137,1338,1190,R1W1,dayton,39.7594,-84.1917
2009,137,1462,1340,R1W4,boise,43.6167,-116.2
2009,137,1458,1199,R1W5,boise,43.6167,-116.2
2009,137,1329,1397,R1W8,dayton,39.7594,-84.1917
2009,137,1393,1372,R1X3,minneapolis,44.9778,-93.265
2009,137,1113,1396,R1X6,minneapolis,44.9778,-93.265
2009,137,1257,1287,R1Y1,greensboro,36.08,-79.8194
2009,137,1277,1352,R1Y2,kansas_city,39.0997,-94.5783
2009,137,1242,1295,R1Y3,miami,25.7877,-80.2241
2009,137,1156,1448,R1Y4,portland,45.52,-122.6819
2009,137,1112,1428,R1Y5,portland,45.52,-122.6819
2009,137,1173,1452,R1Y6,miami,25.7877,-80.2241
2009,137,1425,1130,R1Y7,kansas_city,39.0997,-94.5783
2009,137,1373,1326,R1Y8,greensboro,36.08,-79.8194
2009,137,1281,1165,R1Z3,boise,43.6167,-116.2
2009,137,1266,1429,R1Z6,boise,43.6167,-116.2
2009,138,1181,1400,R2W2,greensboro,36.08,-79.8194
2009,138,1437,1417,R2W3,philadelphia,39.95,-75.1667
2009,138,1314,1261,R2X1,dayton,39.7594,-84.1917
2009,138,1328,1276,R2X2,minneapolis,44.9778,-93.265
2009,138,1211,1443,R2X4,miami,25.7877,-80.2241
2009,138,1163,1401,R2Z1,philadelphia,39.95,-75.1667
2009,138,1272,1268,R2Z2,kansas_city,39.0997,-94.5783
2009,138,1345,1449,R2Z4,portland,45.52,-122.6819
2009,139,1338,1329,R2W1,dayton,39.7594,-84.1917
2009,139,1462,1458,R2W4,boise,43.6167,-116.2
2009,139,1393,1113,R2X3,minneapolis,44.9778,-93.265
2009,139,1257,1373,R2Y1,greensboro,36.08,-79.8194
2009,139,1277,1425,R2Y2,kansas_city,39.0997,-94.5783
2009,139,1242,1173,R2Y3,miami,25.7877,-80.2241
2009,139,1112,1156,R2Y4,portland,45.52,-122.6819
2009,139,1281,1266,R2Z3,boise,43.6167,-116.2
